time_s,VM,VLEAK,VREF
0.938993398,0.992779667,0.99277969,0.993377468
0.939003398,0.992779667,0.99277969,0.993377468
0.939013398,0.992779667,0.99277969,0.993377468
0.939023398,0.992779667,0.99277969,0.993377468
0.939033398,0.992779667,0.99277969,0.993377468
0.939043398,0.992779667,0.99277969,0.993377468
0.939053398,0.992779667,0.99277969,0.993377468
0.939063398,0.992779667,0.99277969,0.993377468
0.939073398,0.992779667,0.99277969,0.993377468
0.939083398,0.992779667,0.99277969,0.993377468
0.939093398,0.992779667,0.99277969,0.993377468
0.939103398,0.992779667,0.99277969,0.993377468
0.939113398,0.992779667,0.99277969,0.993377468
0.939123398,0.992779667,0.99277969,0.993377468
0.939133398,0.992779667,0.99277969,0.993377468
0.939143398,0.992779667,0.99277969,0.993377468
0.939153398,0.992779667,0.99277969,0.993377468
0.939163398,0.992779667,0.99277969,0.993377468
0.939173398,0.992779667,0.99277969,0.993377468
0.939183398,0.992779667,0.99277969,0.993377468
0.939193398,0.992779667,0.99277969,0.993377468
0.939203398,0.992779667,0.99277969,0.993377468
0.939213398,0.992779667,0.99277969,0.993377468
0.939223398,0.992779667,0.99277969,0.993377468
0.939233398,0.992779667,0.99277969,0.993377468
0.939243398,0.992779667,0.99277969,0.993377468
0.939253398,0.992779667,0.99277969,0.993377468
0.939263398,0.992779667,0.99277969,0.993377468
0.939273398,0.992779667,0.99277969,0.993377468
0.939283398,0.992779667,0.99277969,0.993377468
0.939293398,0.992779667,0.99277969,0.993377468
0.939303398,0.992779667,0.99277969,0.993377468
0.939313398,0.992779667,0.99277969,0.993377468
0.939323398,0.992779667,0.99277969,0.993377468
0.939333398,0.992779667,0.99277969,0.993377468
0.939343398,0.992779667,0.99277969,0.993377468
0.939353398,0.992779667,0.99277969,0.993377468
0.939363398,0.992779667,0.99277969,0.993377468
0.939373398,0.992779667,0.99277969,0.993377468
0.939383398,0.992779667,0.99277969,0.993377468
0.939393398,0.992779667,0.99277969,0.993377468
0.939403398,0.992779667,0.99277969,0.993377468
0.939413398,0.992779667,0.99277969,0.993377468
0.939423398,0.992779667,0.99277969,0.993377468
0.939433398,0.992779667,0.99277969,0.993377468
0.939443398,0.992779667,0.99277969,0.993377468
0.939453398,0.992779667,0.99277969,0.993377468
0.939463398,0.992779667,0.99277969,0.993377468
