time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,Vm_Int,AP,Spike_Out
2.999025e-06,-7.14546737e-06,-0.000143824511,-5.80252646e-09,-0.0199838092,-0.00076293572,-5.94298114e-07,-2.71435502e-09
2.9995e-06,-7.14464077e-06,-0.000143844201,-5.79899684e-09,-0.0199838084,-0.000762968167,-5.94263347e-07,-2.71404111e-09
2.99955e-06,-7.14455373e-06,-0.000143846274,-5.7986238e-09,-0.0199838083,-0.000762971582,-5.94259684e-07,-2.71400806e-09
2.99965e-06,-7.14437961e-06,-0.000143850419,-5.79787951e-09,-0.0199838081,-0.000762978411,-5.94252356e-07,-2.71394194e-09
2.999825e-06,-7.14407485e-06,-0.000143857673,-5.79657922e-09,-0.0199838078,-0.000762990361,-5.94239531e-07,-2.7138262e-09
3e-06,-7.14377e-06,-0.000143864927,-5.79528248e-09,-0.0199838075,-0.00076300231,-5.942267e-07,-2.71371043e-09
3.000035e-06,-7.14370902e-06,-0.000143866377,-5.79502313e-09,-0.0199838075,-0.0007630047,-5.94224131e-07,-2.71368728e-09
3.000105e-06,-7.14358705e-06,-0.000143869279,-5.79450443e-09,-0.0199838073,-0.000763009479,-5.94218996e-07,-2.71364091e-09
3.000245e-06,-7.14334307e-06,-0.000143875082,-5.79346526e-09,-0.0199838071,-0.000763019036,-5.94208721e-07,-2.71354829e-09
3.000525e-06,-7.14285496e-06,-0.000143886688,-5.79138515e-09,-0.0199838066,-0.000763038149,-5.94188159e-07,-2.71336295e-09
3.001085e-06,-7.1418781e-06,-0.000143909898,-5.78723025e-09,-0.0199838057,-0.000763076363,-5.94146986e-07,-2.71299197e-09
3.002205e-06,-7.13992183e-06,-0.000143956316,-5.77893466e-09,-0.0199838038,-0.000763152747,-5.94064447e-07,-2.71224906e-09
3.004445e-06,-7.13599906e-06,-0.000144049138,-5.76237191e-09,-0.0199838,-0.000763305345,-5.9389857e-07,-2.71075935e-09
3.008925e-06,-7.12811265e-06,-0.000144234726,-5.72939207e-09,-0.0199837923,-0.000763609857,-5.93563626e-07,-2.70776442e-09
3.017885e-06,-7.11217637e-06,-0.000144605682,-5.66399372e-09,-0.0199837768,-0.000764216154,-5.9288097e-07,-2.70171247e-09
3.035805e-06,-7.07965002e-06,-0.000145346714,-5.53541568e-09,-0.0199837452,-0.000765417926,-5.9146458e-07,-2.68936022e-09
3.071645e-06,-7.01198285e-06,-0.00014682527,-5.28686428e-09,-0.0199836794,-0.000767778868,-5.8842744e-07,-2.66366258e-09
3.143325e-06,-6.86619671e-06,-0.000149768406,-4.82218354e-09,-0.0199835372,-0.000772335636,-5.81535421e-07,-2.60829714e-09
3.286685e-06,-6.53287567e-06,-0.000155599287,-4.00818578e-09,-0.0199832109,-0.000780828545,-5.64478894e-07,-2.48170771e-09
3.573405e-06,-5.69984103e-06,-0.000167043484,-2.74887135e-09,-0.0199823915,-0.000795614914,-5.17276383e-07,-2.1653235e-09
3.7857025e-06,-4.94065325e-06,-0.000175333376,-2.07240269e-09,-0.0199816419,-0.000804875996,-4.71089462e-07,-1.8769776e-09
3.998e-06,-4.06101234e-06,-0.000183470136,-1.560581e-09,-0.0199807715,-0.000812894364,-4.15359251e-07,-1.5428767e-09
3.99805e-06,-4.06079098e-06,-0.000183472035,-1.56047975e-09,-0.0199807712,-0.000812896106,-4.15345e-07,-1.54279262e-09
3.99815e-06,-4.06034823e-06,-0.000183475831,-1.56027724e-09,-0.0199807708,-0.00081289959,-4.15316499e-07,-1.54262445e-09
3.998325e-06,-4.05957337e-06,-0.000183482475,-1.55992197e-09,-0.01998077,-0.000812905686,-4.15266617e-07,-1.54233015e-09
3.9985e-06,-4.05879844e-06,-0.000183489119,-1.55956847e-09,-0.0199807693,-0.000812911782,-4.15216729e-07,-1.54203582e-09
3.998535e-06,-4.05864344e-06,-0.000183490448,-1.5594992e-09,-0.0199807691,-0.000812913001,-4.1520675e-07,-1.54197695e-09
3.998605e-06,-4.05833343e-06,-0.000183493105,-1.55935886e-09,-0.0199807688,-0.000812915439,-4.15186793e-07,-1.54185921e-09
